"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.144731500E0	-5.622884885E0	-2.135061445E1	5.001966131E0	2.263813678E1
2.154703500E0	-5.144013711E0	-2.124615277E1	5.781643807E0	2.261166269E1
2.164675500E0	-4.714033445E0	-2.149719245E1	6.498293175E0	2.294731376E1
2.174647500E0	-4.481230062E0	-2.170123455E1	6.732930830E0	2.315939035E1
2.184619500E0	-4.057221850E0	-2.164850202E1	6.243246399E0	2.289316087E1
2.194590500E0	-3.204752187E0	-2.143855423E1	5.273989713E0	2.230912396E1
2.204562500E0	-2.468380453E0	-2.099647199E1	4.234751211E0	2.156102632E1
2.214534500E0	-1.932234924E0	-2.071494960E1	2.959105103E0	2.101425640E1
2.224506500E0	-9.922385093E-1	-2.054942662E1	1.776040007E0	2.064988595E1
2.234478500E0	3.909494067E-3	-2.078154003E1	8.810719031E-1	2.080020935E1
2.244449500E0	7.302741849E-1	-2.132458498E1	3.627524883E-2	2.133711651E1
2.254421500E0	1.505506003E0	-2.192089339E1	2.922584563E-2	2.197255037E1
2.264393500E0	2.562432040E0	-2.268361824E1	7.683364159E-1	2.284081730E1
2.274365500E0	3.618363465E0	-2.358764455E1	1.500053474E0	2.391066060E1
2.284337500E0	4.810696691E0	-2.408202430E1	2.474548973E0	2.468218162E1
2.294308500E0	5.611942990E0	-2.410688198E1	3.156015353E0	2.495187560E1
2.304280500E0	5.583333734E0	-2.415416023E1	3.731686890E0	2.507035219E1
2.314252500E0	5.873991222E0	-2.436460854E1	3.971894310E0	2.537545795E1
2.324224500E0	6.502986735E0	-2.474117390E1	4.243088756E0	2.593103015E1
2.334196500E0	6.637327099E0	-2.524858592E1	4.364536010E0	2.646874339E1
2.344167500E0	6.530369246E0	-2.541823236E1	4.572485803E0	2.663906690E1
2.354139500E0	6.189318699E0	-2.548924562E1	5.535695883E0	2.680770854E1
2.364111500E0	5.753660787E0	-2.589216322E1	6.579981117E0	2.732773097E1
2.374083500E0	5.553646835E0	-2.597849853E1	7.515565442E0	2.760813472E1
2.384055500E0	6.092542602E0	-2.622419619E1	8.281193427E0	2.816745828E1
2.394026500E0	6.846664436E0	-2.723185154E1	9.366846542E0	2.960047916E1
2.403998500E0	6.408431411E0	-2.728855316E1	1.100721039E1	3.011464440E1
